Rank,Company,Website,Headquarters,Industry/Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,CTC Source,Role Types,Hiring Status,Role Impact Signal,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Investors,Profitability,Revenue Estimate,WLB Rating,Visa Sponsorship,Domain Growth Score,Industry Alignment Score (0-10),Comp Score (0-10),Stability & Growth Score (0-10),Work Mode Score (0-10),WLB Score (0-10),Match Score (0-100)
11,Lovable,lovable.dev,Stockholm Sweden,AI App Builder,Both,Remote-first,1020,1360,USD,Glassdoor estimate,PM/SPM,Active,High,Series A,50000000,50000000,2025,Creandum,No,$100M ARR,4.3,No,9,9,8,9,10,8.5,86.1
12,Pika Labs,pika.art,Palo Alto USA,AI Video B2C,Both,Hybrid SF,1190,1530,USD,Levels.fyi estimate,PM/SPM,Active,High,Series A,135000000,80000000,2025,"Lightspeed,Spark Capital",No,~$50M ARR,4.0,No,9,9,8,8.5,7,8,84.3
13,Webflow,webflow.com,San Francisco USA,No-code Design,Both,Remote-first,1190,1530,USD,Levels.fyi,PM/SPM,Active,High,Series C,333000000,140000000,2022,"Accel,Y Combinator",No,~$200M ARR,4.4,No,8,10,8,8.5,10,8.5,84.1
14,CRED,cred.club,Bangalore India,Consumer Fintech,B2C,Hybrid Bangalore,45,65,INR,AmbitionBox,PM/SPM/CoS,Active,High,Series F,900000000,140000000,2023,"GIC,Tiger Global",No,~$200M ARR,4.2,No,8,8,8,8,6,8.5,80.3
15,Meesho,meesho.com,Bangalore India,Social Commerce B2C,B2C,Hybrid Bangalore,40,55,INR,AmbitionBox,PM/SPM,Active,High,Series F,1128000000,570000000,2023,"Fidelity,B Capital",No,Approaching profitable,3.8,No,9,10,7,8,6,7.5,79.6
16,Framer,framer.com,Amsterdam Netherlands,AI Web Design,Both,Remote-first,70,105,EUR,Glassdoor,PM/SPM,Active,High,Series B,27000000,27000000,2022,"Atomico,Index",No,~$50M ARR,4.4,No,9,10,7,8,10,8.5,79.1
17,Whatnot,whatnot.com,Los Angeles USA,Live Commerce B2C,B2C,Hybrid/Remote,1275,1615,USD,Levels.fyi estimate,PM/SPM,Active,High,Series D,685000000,490000000,2025,"a16z,CapitalG",No,~$500M GMV,4.0,No,8,9,8,8.5,7,8,79.1
18,Replika,replika.ai,San Francisco USA,AI Companion,B2C,Hybrid SF,1020,1360,USD,Glassdoor estimate,PM/SPM,Active,High,Series A,10900000,10900000,2021,"Khosla Ventures",No,~$20M ARR,4.0,No,9,10,7,6,7,8,78.2
19,Niantic,nianticlabs.com,San Francisco USA,AR + Spatial B2C,B2C,Hybrid SF,1275,1657,USD,Levels.fyi,PM/SPM,Active,High,Series D,765000000,300000000,2022,"Coatue,IVP",No,~$900M Revenue,4.0,No,7,9,8,7.5,7,8,76.6
20,ShopMy,shopmy.us,New York USA,Creator Commerce,B2C,Hybrid NY,1105,1445,USD,Glassdoor estimate,PM/SPM,Active,High,Series B,187500000,147500000,2025,"Bessemer,GC",No,~$100M ARR,4.0,No,9,9,8,8.5,7,8,76.4
21,Superhuman,superhuman.com,San Francisco USA,AI Email Client,Both,Remote-first,1190,1530,USD,Levels.fyi,PM/SPM,Active,High,Series C,75000000,75000000,2022,"Andreessen Horowitz",No,~$25M ARR,4.5,No,8,9,8,8,10,9,76.3
22,Roblox,roblox.com,San Mateo USA,UGC Gaming Platform,B2C,Hybrid San Mateo,1445,1785,USD,Levels.fyi,PM/SPM/Lead PM,Active,High,Public,0,Not profitable,N/A,None,No,~$1.4B Revenue,3.7,No,8,9,9,8.5,5,7.5,76.1
23,Inworld AI,inworld.ai,Mountain View USA,AI Gaming/NPCs,Both,Hybrid Mountain View,1190,1530,USD,Glassdoor estimate,PM/SPM,Active,High,Series B,110000000,50000000,2024,"NetEase,Intel Capital",No,~$50M ARR,4.0,No,8,9,8,8.5,6,8,75.5
24,Gong,gong.io,San Francisco USA,Revenue Intelligence AI,B2B,Remote-friendly,1360,1700,USD,Levels.fyi,PM/SPM,Active,High,Series E,584000000,250000000,2022,"Sequoia,Salesforce",No,~$200M ARR,3.8,No,8,7,9,8,8,7.5,74.5
25,Bloomreach,bloomreach.com,Mountain View USA,AI Commerce Personalization,B2B,Hybrid,1190,1530,USD,Levels.fyi,PM/SPM,Active,High,Series E,675000000,150000000,2022,"Sixth Street",No,~$200M ARR,4.0,No,9,8,8,8,6,8,74.3
26,Figma India PM,figma.com,Bangalore India,AI Design Tools,Both,Remote,50,80,INR,Levels.fyi,PM/SPM,Active,High,Pre-IPO,0,Profitable,N/A,None,Yes,~$600M ARR,4.5,Yes,9,10,8,9,10,9,74.1
27,Dream Games,dreamgames.com,Istanbul Turkey,Mobile Gaming B2C,B2C,Hybrid Istanbul,85,119,USD,Glassdoor estimate,PM/SPM,Active,High,Series C,555000000,255000000,2023,"IVP,Index Ventures",No,~$500M Revenue,4.0,No,8,9,7,8,5,8,73.7
28,Google DeepMind (Gemini PM),deepmind.google,USA/India,Consumer AI,B2C,Hybrid,60,100,INR,AmbitionBox (India),PM/SPM,Active,High,Public,0,Profitable,N/A,None,Yes,Massive,4.0,Yes,10,10,8,10,6,8,73.5
29,Krea AI,krea.ai,London UK,Real-time AI Image Gen,B2C,Remote,85,128,EUR,Glassdoor estimate,PM/SPM,Active,High,Seed,5000000,5000000,2024,"Y Combinator",No,~$5M ARR,4.2,No,9,10,7,7.5,10,8.5,73.3
30,Darwinbox,darwinbox.com,Hyderabad India,HR Tech SaaS,B2B,Hybrid Hyderabad,30,45,INR,AmbitionBox,PM/SPM,Active,High,Series D,110000000,72000000,2022,"Microsoft,TPG",No,~$50M ARR,4.0,No,8,6,6,7.5,6.5,8,65.9
31,Razorpay,razorpay.com,Bangalore India,Fintech B2B/B2C,Both,Hybrid Bangalore,40,55,INR,AmbitionBox,PM/SPM,Active,High,Series F,741500000,375000000,2021,"Sequoia,GIC",No,~$200M ARR,3.8,No,7,8,7,8,6,7.5,72.8
32,Swiggy,swiggy.com,Bangalore India,Food Delivery B2C,B2C,Hybrid Bangalore,35,55,INR,AmbitionBox,PM/SPM/GM,Active,High,Public,1600000000,IPO,Nov-2024,N/A,No,~$3.5B Revenue,3.7,No,7,9,7,7.5,6,7.5,71.9
33,Zepto,zeptonow.com,Mumbai India,Quick Commerce B2C,B2C,Hybrid Mumbai,40,55,INR,AmbitionBox,PM/SPM,Active,High,Series G,1400000000,350000000,2025,"Dragon Fund,Nexus",No,~$1B Revenue,3.8,No,9,10,7,8,5,7.5,71.8
34,Groww,groww.in,Bangalore India,Consumer Investing,B2C,Hybrid Bangalore,40,55,INR,AmbitionBox,PM/SPM,Active,High,Series F,393000000,251000000,2021,"Sequoia,Y Combinator",No,~$100M Revenue,3.9,No,7,9,7,7.5,6,8,71.6
35,PhonePe,phonepe.com,Bangalore India,Digital Payments,Both,Hybrid Bangalore,40,60,INR,AmbitionBox,PM/SPM,Active,High,Pre-IPO,850000000,850000000,2023,"General Atlantic,Walmart",No,Profitable,3.8,No,7,8,7,8.5,6,7.5,71.4
36,Uizard,uizard.io,Copenhagen Denmark,AI UI Design Tool,Both,Remote-friendly,85,119,USD,Glassdoor estimate,PM/SPM,Active,High,Series A,15000000,15000000,2022,"EQT Ventures,Balderton",No,~$10M ARR,4.1,No,9,10,7,7,8,8,71.0
37,Typeform,typeform.com,Barcelona Spain,Conversational UX,Both,Remote-first,70,102,EUR,Glassdoor,PM/SPM,Active,High,Series B,135000000,135000000,2021,"General Atlantic",No,~$100M ARR,4.2,No,8,9,7,7.5,10,8.5,70.5
38,Clay,clay.com,New York USA,AI Outbound Sales,B2B,Hybrid NY,1105,1445,USD,Levels.fyi estimate,PM/SPM,Active,High,Series B,46000000,40000000,2024,"Sequoia,Meritech",No,~$50M ARR,4.1,No,8,7,7,8,6,8,69.8
39,Mercor,mercor.com,San Francisco USA,AI Hiring Platform,Both,Hybrid SF,1105,1445,USD,Glassdoor estimate,PM/SPM,Active,High,Series A,30000000,30000000,2024,"General Catalyst",No,~$100M ARR,4.0,No,8,8,7,8.5,7,8,69.6
40,Gem,gem.com,San Francisco USA,AI Recruiting CRM,B2B,Hybrid SF,1190,1487,USD,Levels.fyi,PM/SPM,Active,Medium,Series C,121000000,100000000,2022,"Accel,Y Combinator",No,~$50M ARR,4.0,No,8,7,7,7.5,6,8,68.9
41,Lenskart,lenskart.com,Gurugram India,D2C Eyewear,B2C,Hybrid Gurugram,35,50,INR,AmbitionBox,PM/SPM,Active,High,Series I,1000000000,500000000,2022,"SoftBank,Temasek",No,~$800M Revenue,3.8,No,7,9,6,7.5,5,7.5,65.6
42,Splice,splice.com,New York USA,Music Creator Tools,B2C,Hybrid NY,1105,1360,USD,Glassdoor,PM/SPM,Active,High,Series D,135000000,55000000,2021,"USV,Khosla",No,~$100M ARR,4.0,No,9,9,7,7,6,8,68.5
43,Loom (Atlassian),loom.com,San Francisco USA,Video Communication,Both,Remote,1275,1530,USD,Levels.fyi,PM/SPM,Active,Medium,Acquired,975000000,Acquired,Oct-2023,Atlassian,No,~$100M ARR,4.2,No,7,8,8,8,10,8.5,68.5
44,upGrad,upgrad.com,Mumbai India,EdTech B2C,B2C,Hybrid Mumbai,30,45,INR,AmbitionBox,PM/SPM/CoS,Active,High,Series F,600000000,210000000,2023,"IFC,IIFL",No,~$500M Revenue,3.7,No,7,8,6,7,5,7.5,65.2
45,Snap Inc.,snap.com,Santa Monica USA,AR / Social,B2C,Hybrid,1275,1615,USD,Levels.fyi,PM/SPM,Active,High,Public,0,Not profitable,N/A,None,Yes,~$5B Revenue,3.8,No,7,9,8,6,6,7.5,67.8
46,Ashby,ashbyhq.com,San Francisco USA,AI ATS,B2B,Remote-first,1105,1402,USD,Glassdoor,PM/SPM,Active,High,Series C,30000000,30000000,2023,"Lachy Groom,Y Combinator",No,~$25M ARR,4.3,No,8,7,7,7.5,10,8.5,67.8
47,Beamery,beamery.com,London UK,Talent Intelligence,B2B,Hybrid London,595,850,USD,Glassdoor UK,PM/SPM,Active,High,Series D,138000000,50000000,2022,"EQT,Workday",No,~$30M ARR,4.0,No,8,7,7,7.5,6,8,67.0
48,Boomy,boomy.com,San Francisco USA,AI Music B2C,B2C,Remote,850,1190,USD,Glassdoor estimate,PM/SPM,Active,High,Seed,6000000,6000000,2021,"Techstars",No,~$5M ARR,4.0,No,9,10,6,6,10,8,66.8
49,Pika Labs,pika.art,Palo Alto USA,AI Video,Both,Hybrid,1105,1445,USD,Glassdoor estimate,PM,Active,High,Series A,135000000,80000000,2025,"Lightspeed",No,~$30M ARR,4.0,No,9,9,7,8.5,7,8,66.5
50,Hume AI,hume.ai,New York USA,Emotional AI Voice,Both,Hybrid NY,1105,1445,USD,Glassdoor estimate,PM/SPM,Active,High,Series B,100000000,50000000,2025,"Union Square,EQT",No,~$20M ARR,4.0,No,9,9,7,8.5,7,8,66.5
51,Miro,miro.com,San Francisco USA,Collaborative Whiteboard,Both,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series D,476000000,400000000,Oct-2025,"ICONIQ,Accel",No,~$500M ARR,4.2,No,7,8,7.5,8.5,6,8.5,66.3
52,Descript,descript.com,San Francisco USA,AI Audio/Video Editing,Both,Remote-friendly,1445,2000,USD,Glassdoor,PM/SPM,Active,High,Series C,104000000,50000000,2022,OpenAI Fund,No,~$30M ARR,4.2,No,9,9,9,7,8,8.5,66.3
53,Synthesia,synthesia.io,London UK,AI Video Avatars,Both,Hybrid London/Remote EU,680,1020,USD,Glassdoor UK,PM/SPM,Active,High,Series E,530000000,200000000,2025,"General Atlantic",Yes,~$100M ARR,4.2,No,9,8,7,8.5,7,8.5,65.5
54,Amplitude,amplitude.com,San Francisco USA,Product Analytics,B2B,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Public + Growth,150000000,150000000,Oct-2025,"Sequoia",Near prof,~$300M ARR,4.0,No,6,7,7,8,6,8,62.4
55,HeyGen,heygen.com,Los Angeles USA,AI Video Generation,Both,Remote-friendly,1360,1700,USD,Glassdoor,PM/SPM,Active,High,Series A,65600000,60000000,Jun-2024,"Benchmark",No,~$100M ARR,4.2,No,9,9,8,8.5,9,8.5,66.1
56,Locofy.ai,locofy.ai,Singapore,Design-to-Code AI,Both,Remote,850,1190,USD,Glassdoor estimate,PM/SPM,Active,High,Seed,7000000,7000000,2023,"Sequoia SEA",No,~$5M ARR,4.0,No,9,10,6,7,10,8,65.8
57,Linear,linear.app,San Francisco USA,Dev/PM Tools,Both,Remote-friendly,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series B,52000000,35000000,2022,"Sequoia,Accel",No,~$50M ARR,4.5,No,7,8,7.5,7.5,9,9,65.6
58,Lottiefiles,lottiefiles.com,Malaysia,Design Animation,Both,Remote,680,1020,USD,Glassdoor estimate,PM/SPM,Active,Medium,Series B,37000000,37000000,2022,"Sequoia SEA",No,~$20M ARR,4.2,No,7,9,6,7,10,8.5,65.3
59,Moon Active,moonactive.com,Tel Aviv Israel,Mobile Gaming,B2C,Hybrid Tel Aviv,1020,1360,USD,Glassdoor estimate,PM/SPM,Active,High,Bootstrapped,0,Profitable,N/A,None,No,~$1B ARR,4.0,No,8,9,7,9.5,5,8,65.3
60,Notion India PM,notion.so,India/Remote,Productivity AI,Both,Remote,50,70,INR,AmbitionBox,PM/SPM,Active,High,Series C,343000000,275000000,2022,"Coatue,Sequoia",No,~$300M ARR,4.4,No,8,9,7,8.5,10,8.5,65.1
61,Typeface,typeface.ai,San Francisco USA,AI Content Enterprise,B2B,Hybrid SF,1190,1700,USD,Levels.fyi,PM/SPM,Active,High,Series B,165000000,100000000,2023,"Lightspeed,GV",No,~$50M ARR,4.0,No,8,7,8,8.5,6,8,64.5
62,BharatPe,bharatpe.com,New Delhi India,Merchant Fintech,Both,Hybrid Delhi,25,40,INR,AmbitionBox,PM/SPM,Active,Medium,Series E,583000000,370000000,2021,"Tiger Global,Insight",No,Approaching profitable,3.5,No,6,7,5,7,5,7,58.0
63,Mensa Brands,mensabrands.com,Bangalore India,D2C Brand Portfolio,B2C,Hybrid Bangalore,25,40,INR,AmbitionBox,PM/SPM,Active,High,Series B,135000000,135000000,2021,"Accel,Falcon Edge",No,~$100M Revenue,3.7,No,7,9,5,6,6,7.5,57.5
64,Sprig,sprig.com,San Francisco USA,User Research AI,B2B,Hybrid SF,1105,1402,USD,Glassdoor,PM/SPM,Active,High,Series B,90000000,30000000,2022,"Accel,Y Combinator",No,~$15M ARR,4.2,No,7,8,7,7,7,8.5,63.5
65,FullStory,fullstory.com,Atlanta USA,Digital Experience Analytics,B2B,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series D,235000000,235000000,2021,"GV,Kleiner Perkins",No,~$100M ARR,4.0,No,6,7,7.5,7.5,6,8,62.6
66,Leena AI,leena.ai,Gurugram India,AI HR Automation,B2B,Hybrid Gurugram,25,40,INR,AmbitionBox,PM/SPM,Active,High,Series B,30000000,30000000,2022,"Greycroft,Elad Gil",No,~$15M ARR,4.0,No,8,6,5,7,5,8,57.5
67,Maze,maze.co,San Francisco USA,Product Research,B2B,Remote-first,1020,1317,USD,Glassdoor,PM/SPM,Active,High,Series B,40000000,40000000,2022,"Emergence,Accel",No,~$15M ARR,4.3,No,7,8,7,7,10,8.5,63.1
68,Braze,braze.com,New York USA,Customer Engagement,B2B,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Public,0,Near profitable,N/A,None,No,~$500M ARR,3.8,No,6,7,7.5,8,6,7.5,62.3
69,Klaviyo,klaviyo.com,Boston USA,Email Marketing + AI,Both,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Public,0,Profitable,N/A,None,No,~$1B ARR,4.0,No,7,7,7.5,8.5,5,8,62.0
70,Appcharge,appcharge.com,Tel Aviv Israel,Gaming Monetization,B2B,Hybrid Tel Aviv,850,1190,USD,Glassdoor estimate,PM/SPM,Active,High,Series B,58000000,58000000,2025,"Insight,Citi",No,~$20M ARR,4.0,No,8,7,6,7.5,5,8,61.4
71,Keka,keka.com,Hyderabad India,HR SaaS,B2B,Hybrid Hyderabad,17,28,INR,AmbitionBox,PM/SPM,Active,High,Series A,57000000,57000000,2022,"WestBridge",No,~$15M ARR,4.1,No,6,6,4,6.5,6.5,8,55.6
72,Headspace Health,headspace.com,Santa Monica USA,Mental Wellness AI,B2C,Hybrid,1105,1402,USD,Glassdoor,PM/SPM,Active,High,Series D,220000000,93000000,2021,"Achmea,Nike",No,~$100M ARR,4.5,No,7,8,7,7,6,9,61.0
73,BeReal (Voodoo),bereal.com,Paris France,Consumer Social,B2C,Hybrid/Remote EU,595,850,USD,Glassdoor estimate,PM/SPM,Active,High,Acquired,500000000,Acquired,2024,Voodoo,No,~$20M ARR,3.8,No,8,9,6,6.5,7,7.5,60.5
74,Talkdesk,talkdesk.com,San Francisco USA,Cloud Contact Center AI,B2B,Hybrid,1105,1402,USD,Levels.fyi,PM/SPM,Active,High,Series D,498000000,230000000,2022,"Salesforce,Top Tier",No,~$300M ARR,3.8,No,8,7,7,7.5,6,7.5,60.4
75,Glean,glean.com,Palo Alto USA,Enterprise Search AI,B2B,Hybrid,1275,1572,USD,Levels.fyi,PM/SPM,Active,High,Series D,600000000,200000000,2024,"Sequoia,Kleiner",No,~$100M ARR,3.8,No,9,7,8,8.5,6,7.5,60.4
76,Intercom,intercom.com,San Francisco USA,Customer Support AI,Both,Hybrid,1105,1402,USD,Levels.fyi,PM/SPM,Active,High,Series D,296000000,125000000,2018,"Bessemer,ICONIQ",Yes,~$250M ARR,4.2,No,8,8,7,7.5,6,8.5,60.3
77,Loom Atlassian (Remote),loom.com,Remote,Video + AI,Both,Remote,1190,1530,USD,Levels.fyi,PM/SPM,Active,Medium,Acquired,975000000,Acquired,2023,Atlassian,No,~$100M ARR,4.2,No,7,8,8,8,10,8.5,60.2
78,Apollo.io,apollo.io,San Francisco USA,Sales Intelligence,B2B,Hybrid,1105,1360,USD,Glassdoor,PM/SPM,Active,High,Series D,251000000,100000000,2023,"Sequoia,Tribe Capital",No,~$100M ARR,4.0,No,8,7,7,8,6,8,59.8
79,Character.ai,character.ai,Menlo Park USA,AI Companion,B2C,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series A,150000000,150000000,2024,"a16z",No,~$100M ARR,4.0,No,9,10,7,7,6,8,59.7
80,Murf AI,murf.ai,Bangalore India,AI Voice Generator,Both,Hybrid Bangalore,17,28,INR,AmbitionBox,PM/SPM,Active,High,Series A,10000000,10000000,2023,"Elevation Capital",No,~$10M ARR,4.1,No,8,8,4,7,6,8,56.4
81,Beatoven.ai,beatoven.ai,Bangalore India,AI Music India,B2C,Hybrid Bangalore,12,20,INR,AmbitionBox estimate,PM/SPM,Active,High,Seed,1500000,1500000,2022,"India Quotient",No,~$2M ARR,4.0,No,9,10,3,5,6,8,54.6
82,Soundraw,soundraw.io,Tokyo Japan,AI Music for Creators,B2C,Remote,680,1020,USD,Glassdoor estimate,PM/SPM,Active,High,Seed,5000000,5000000,2023,N/A,No,~$5M ARR,4.0,No,9,10,6,6,10,8,64.4
83,Naukri (Info Edge),naukri.com,Noida India,Job Platform B2C,Both,Hybrid Noida,22,35,INR,AmbitionBox,PM/SPM,Active,High,Public,0,Profitable,N/A,None,No,~$300M Revenue,4.0,No,6,7,5,8,5,8,53.5
84,iimjobs.com,iimjobs.com,Noida India,Senior Job Platform,B2B,Hybrid Noida,18,28,INR,AmbitionBox,PM/SPM,Active,Medium,Subsidiary,N/A,N/A,N/A,Info Edge,No,~$20M Revenue,4.0,No,5,6,4,6,5,8,48.8
85,Clari,clari.com,Sunnyvale USA,Revenue Ops AI,B2B,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series F,485000000,150000000,2022,"Sequoia,Bain Capital",No,~$200M ARR,3.8,No,8,7,7.5,8,6,7.5,60.1
86,6sense,6sense.com,San Francisco USA,ABM + AI Revenue,B2B,Remote-friendly,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series E,446000000,200000000,2022,"D1 Capital,Harmony",No,~$200M ARR,3.8,No,8,7,7.5,8,8,7.5,60.1
87,Qualified,qualified.com,San Francisco USA,Agentic Revenue AI,B2B,Hybrid,1105,1360,USD,Glassdoor,PM/SPM,Active,High,Series C,163000000,95000000,2022,"Salesforce,Tiger Global",No,~$50M ARR,4.0,No,9,7,7,7.5,6,8,59.5
88,Outreach,outreach.io,Seattle USA,Sales AI Enterprise,B2B,Hybrid,1190,1487,USD,Levels.fyi,PM/SPM,Active,High,Series G,666000000,200000000,2021,"Lone Pine,Tiger Global",No,~$300M ARR,3.6,No,8,7,7.5,7.5,6,7,58.5
89,MoEngage,moengage.com,San Francisco USA,Customer Engagement,Both,Hybrid Bangalore (India PMs),22,35,INR,AmbitionBox,PM/SPM,Active,High,Series E,77000000,77000000,2021,"Goldman Sachs,B Capital",No,~$50M ARR,3.8,No,7,7,5,7,6,7.5,53.5
90,CleverTap,clevertap.com,Mumbai India,Mobile Marketing AI,Both,Hybrid Mumbai,22,35,INR,AmbitionBox,PM/SPM,Active,High,Series D,105000000,75000000,2022,"TIDE,Sequoia",No,~$75M ARR,3.8,No,7,7,5,7.5,5,7.5,53.3
91,Insider,useinsider.com,Istanbul Turkey,Marketing AI,B2B,Hybrid Global,595,850,USD,Glassdoor estimate,PM/SPM,Active,High,Series D,274000000,121000000,2022,"QIA,Harbert",No,~$100M ARR,3.8,No,7,7,6,7.5,6,7.5,53.8
92,WebEngage,webengage.com,Mumbai India,Marketing Automation,B2B,Hybrid Mumbai,18,28,INR,AmbitionBox,PM/SPM,Active,Medium,Series C,20000000,20000000,2019,"Sequoia India",No,~$20M ARR,3.7,No,6,6,4,6,5,7.5,49.3
93,Airtable,airtable.com,San Francisco USA,No-code Database,Both,Hybrid,1275,1572,USD,Levels.fyi,PM/SPM,Active,High,Series F,1360000000,270000000,2021,"Benchmark,Thrive Capital",No,~$200M ARR,3.8,No,7,8,8,7.5,6,7.5,60.3
94,Craft.io,craft.io,New York USA,Product Management Tool,B2B,Remote,1020,1317,USD,Glassdoor,PM/SPM,Active,Medium,Series A,13000000,13000000,2022,N/A,No,~$5M ARR,4.0,No,6,7,7,6,10,8,57.5
95,Productboard,productboard.com,San Francisco USA,Product Management SaaS,B2B,Hybrid/Remote,1020,1317,USD,Glassdoor,PM/SPM,Active,High,Series C,112000000,72000000,2022,"Dragoneer,Tiger Global",No,~$30M ARR,4.1,No,6,7,7,7,8,8.5,57.3
96,Karat,karat.com,Seattle USA,Technical Interviews AI,B2B,Remote-first,1105,1402,USD,Glassdoor,PM/SPM,Active,High,Series C,110000000,110000000,2022,"Tiger Global,Capital One",No,~$30M ARR,4.3,No,8,7,7,7.5,10,8.5,57.3
97,Warmly,warmly.ai,San Francisco USA,AI Signal-Based Sales,B2B,Remote-friendly,1020,1275,USD,Glassdoor estimate,PM/SPM,Active,High,Series A,21000000,21000000,2023,"Base10,Felicis",No,~$10M ARR,4.1,No,8,7,6.5,7,8,8,58.3
98,Amplemarket,amplemarket.com,Lisbon Portugal,AI Sales Platform,B2B,Remote,595,850,USD,Glassdoor estimate,PM/SPM,Active,Medium,Series B,12000000,12000000,2022,N/A,No,~$10M ARR,4.0,No,8,7,6,7,10,8,57.5
99,GreenPark Sports,greenparksports.com,Los Angeles USA,Esports / Gaming,B2C,Hybrid,935,1190,USD,Glassdoor estimate,PM/SPM,Active,Medium,Series B,35000000,35000000,2021,"General Catalyst,Silver Lake",No,~$10M Revenue,3.8,No,8,9,6,6,6,7.5,57.5
100,Krea AI (contract PM),krea.ai,Remote,AI Image Generation,B2C,Remote,85,128,EUR,Glassdoor estimate,PM (contract track),Active,High,Seed,5000000,5000000,2024,YC,No,~$5M ARR,4.2,No,9,10,7,7.5,10,8.5,57.3
101,Tome.app,tome.app,San Francisco USA,AI Presentation/Storytelling,Both,Hybrid SF,1105,1402,USD,Series C,228000000,213000000,Aug-2025,No,4.0,No,8,7,8,6,8,8,58.5
102,Gamma,gamma.app,San Francisco USA,AI Visual Storytelling,Both,Hybrid SF,1105,1402,USD,Series B,68000000,68000000,Nov-2025,No,4.1,No,8,7,7.5,6,8,8.5,57.5
103,Coda,coda.io,San Francisco USA,AI Collaborative Workspace,Both,Hybrid SF,1190,1487,USD,Series D,400000000,100000000,Oct-2025,No,4.2,No,7,7.5,7.5,6,7,8.5,57.0
