Rank,Company,Website,HQ,Domain,B2C/B2B,Remote Policy,CTC Min (INR LPA),CTC Max (INR LPA),Currency,Stage,Total Funding (USD),Latest Round (USD),Latest Round Date,Profitability,WLB (1-5),Visa,Domain Growth Score,Comp Score,Stability Score,Work Mode Score,Industry Score,WLB Score,Match Score
266,Polygon (MATIC),polygon.technology,India/Global,Blockchain/Web3,Both,Remote,850,1190,USD,Private,450000000,450000000,2022,No,3.8,No,7,6.5,8,10,7,7.5,58.8
267,CoinDCX,coindcx.com,Mumbai India,Crypto Exchange India,Both,Hybrid Mumbai,17,28,INR,Series D,135000000,135000000,2022,No,3.7,No,7,4,7.5,5,7,7.5,50.3
268,Razorpay India (senior),razorpay.com,Bangalore India,Fintech B2C-adjacent,Both,Hybrid Bangalore,45,65,INR,Series F,741500000,375000000,2021,No,3.8,No,7,8,8,6,7,7.5,64.5
269,Cashfree Payments,cashfree.com,Bangalore India,Payments API,B2B,Hybrid Bangalore,20,32,INR,Series B,35000000,35000000,2022,No,3.8,No,7,4.5,7,6,7,7.5,51.5
270,Slice (North),sliceit.in,Bangalore India,Consumer Credit Card,B2C,Hybrid Bangalore,18,30,INR,Series B,220000000,220000000,2022,No,3.7,No,7,4.5,7,6,8,7.5,52.0
271,Fi Money,fi.money,Bangalore India,Consumer Neobank,B2C,Hybrid Bangalore,20,35,INR,Series C,110000000,50000000,2022,No,4.0,No,7,5,7.5,6,8,8,54.3
272,Jupiter,jupiter.money,Mumbai India,Consumer Banking App,B2C,Hybrid Mumbai,18,30,INR,Series C,92000000,45000000,2022,No,4.0,No,7,4.5,7,6,8,8,53.3
273,Open Financial,open.money,Bangalore India,SMB Banking,B2B,Hybrid Bangalore,15,25,INR,Series D,130000000,50000000,2022,No,3.8,No,7,4,7.5,6,7,7.5,51.5
274,KreditBee,kreditbee.in,Bangalore India,Consumer Lending,B2C,Hybrid Bangalore,15,25,INR,Series D,700000000,160000000,2023,No,3.5,No,6,4,7.5,6,7,7,49.5
275,Smallcase,smallcase.com,Bangalore India,Retail Investing Platform,B2C,Hybrid Bangalore,18,30,INR,Series C,40000000,40000000,2021,No,4.0,No,7,4.5,7,6,8,8,52.5
276,Dhan,dhan.co,Mumbai India,Stock Trading Platform,B2C,Hybrid Mumbai,18,28,INR,Series B,50000000,50000000,2022,No,4.0,No,7,4.5,7,6,8,8,52.0
277,Zerodha,zerodha.com,Bangalore India,Discount Broking B2C,B2C,Hybrid Bangalore,20,35,INR,Bootstrapped,0,Profitable,N/A,No,4.2,No,7,5,8.5,6,8,8.5,56.3
278,Nuo (Finfluencer),nuo.in,India,Fintech B2C,B2C,Hybrid,12,20,INR,Seed,1000000,1000000,2023,No,3.5,No,6,2.5,5,6,7,7,43.5
279,Shiprocket,shiprocket.in,New Delhi India,E-commerce Logistics Tech,Both,Hybrid Delhi,18,30,INR,Series E,140000000,33000000,2022,No,3.7,No,7,4.5,7.5,5,7,7.5,51.5
280,Delhivery,delhivery.com,Gurugram India,Logistics Tech,Both,Hybrid Gurugram,20,32,INR,Public,0,Near profitable,N/A,No,3.7,No,7,5,7.5,5,7,7.5,52.3
281,Porter,porter.in,Bangalore India,Intra-city Logistics B2C,B2C,Hybrid Bangalore,18,28,INR,Series E,220000000,140000000,2024,No,3.7,No,7,4.5,7.5,6,8,7.5,52.3
282,OfBusiness,ofbusiness.com,Gurugram India,B2B Commerce Platform,B2B,Hybrid Gurugram,22,38,INR,Series G,700000000,200000000,2022,No,3.6,No,6,5,8,5,6,7,50.3
283,Infra.Market,inframarket.in,Mumbai India,B2B Construction Commerce,B2B,Hybrid Mumbai,20,32,INR,Series F,200000000,125000000,2022,No,3.5,No,6,5,7.5,5,6,7,49.5
284,1mg (Tata),1mg.com,Gurugram India,Online Pharmacy B2C,B2C,Hybrid Gurugram,18,28,INR,Acquired,300000000,Acquired,2021,No,3.8,No,7,4.5,7.5,5,8,7.5,52.3
285,PharmEasy,pharmeasy.in,Mumbai India,Online Pharmacy B2C,B2C,Hybrid Mumbai,15,25,INR,Series G,650000000,200000000,2021,No,3.3,No,7,3.5,6,5,8,6.5,48.0
286,Niramai,niramai.com,Bangalore India,AI Health Diagnostics,B2B,Hybrid Bangalore,12,22,INR,Series B,9000000,9000000,2021,No,3.9,No,8,3,6.5,6,7,7.5,48.0
287,Tricog Health,tricog.com,Bangalore India,AI Cardiac Diagnostics,B2B,Hybrid Bangalore,12,20,INR,Series B,12000000,12000000,2022,No,3.8,No,8,3,6.5,6,7,7.5,47.5
288,SigTuple,sigtuple.com,Bangalore India,AI Medical Diagnostics,B2B,Hybrid Bangalore,12,20,INR,Series B,19000000,8000000,2022,No,3.7,No,8,3,6.5,6,7,7.5,47.3
289,Navi Health (PM),navi.com,Bangalore India,Consumer Health Insurance,B2C,Hybrid Bangalore,18,30,INR,Pre-IPO,193000000,70000000,2021,No,3.7,No,7,4.5,7.5,6,8,7.5,52.5
290,Acko,acko.com,Bangalore India,InsurTech B2C,B2C,Hybrid Bangalore,20,35,INR,Series E,457000000,255000000,2021,No,3.8,No,7,5,7.5,6,8,7.5,54.3
291,PolicyBazaar,policybazaar.com,Gurugram India,Insurance Marketplace,B2C,Hybrid Gurugram,20,35,INR,Public,0,Near profitable,N/A,No,3.8,No,7,5,7.5,5,7,7.5,53.5
292,Onsurity,onsurity.com,Bangalore India,SMB Health Insurance,B2B,Hybrid Bangalore,15,25,INR,Series B,40000000,25000000,2022,No,4.0,No,8,4,7,6,7,8,50.3
293,Park+,parkplus.io,Gurugram India,Parking & Mobility B2C,B2C,Hybrid Gurugram,15,25,INR,Series C,50000000,25000000,2022,No,3.8,No,6,4,7,6,7,7.5,49.0
294,Ather Energy,atherenergy.com,Bangalore India,EV / Consumer Hardware,B2C,Hybrid Bangalore,18,30,INR,Pre-IPO,310000000,128000000,2023,No,3.8,No,7,4.5,7.5,6,8,7.5,52.8
295,Ola Electric,olaelectric.com,Bangalore India,EV Scooters B2C,B2C,Hybrid Bangalore,20,35,INR,Public,0,Not profitable,N/A,No,3.2,No,7,5,7,5,8,6.5,52.5
296,Rapido,rapido.bike,Bangalore India,Bike Taxi B2C,B2C,Hybrid Bangalore,18,30,INR,Series E,180000000,200000000,2023,No,3.5,No,7,4.5,7.5,6,8,7,51.8
297,Stanza Living,stanzaliving.com,Delhi India,Student/Young Pro Housing,B2C,Hybrid Delhi,15,25,INR,Series D,219000000,53000000,2022,No,3.5,No,6,4,7,5,7,7,48.5
298,Housing.com (PropTiger),housing.com,Mumbai India,Online Real Estate B2C,B2C,Hybrid Mumbai,18,28,INR,Subsidiary,0,N/A,N/A,No,3.7,No,6,4.5,7,5,7,7.5,49.8
299,NoBroker,nobroker.in,Bangalore India,PropTech B2C,B2C,Hybrid Bangalore,18,30,INR,Series E,210000000,210000000,2021,No,3.8,No,6,4.5,7.5,6,7,7.5,50.8
300,ShareChat,sharechat.com,Bangalore India,Social Media B2C India,B2C,Hybrid Bangalore,20,35,INR,Series J,1100000000,255000000,2021,No,3.5,No,7,5,7.5,6,9,7,54.0
301,Dailyhunt (Verse),dailyhunt.in,Bangalore India,News + Short Video B2C,B2C,Hybrid Bangalore,18,28,INR,Series B,805000000,805000000,2022,No,3.5,No,7,4.5,7.5,6,9,7,53.3
302,Josh,mxmvideo.in,Bangalore India,Short Video B2C,B2C,Hybrid Bangalore,18,28,INR,Subsidiary,0,N/A,N/A,No,3.5,No,8,4.5,7.5,6,9,7,54.0
303,Moj (ShareChat),sharechat.com,Bangalore India,Short Video B2C India,B2C,Hybrid Bangalore,20,35,INR,Series J,1100000000,255000000,2021,No,3.5,No,8,5,7.5,6,9,7,55.0
304,Lokal,lokal.social,Hyderabad India,Hyperlocal Content B2C,B2C,Hybrid Hyderabad,12,20,INR,Series B,9000000,9000000,2021,No,3.8,No,7,3,6.5,6.5,8,7.5,48.5
305,InShorts,inshorts.com,Bangalore India,News App B2C,B2C,Hybrid Bangalore,15,25,INR,Series C,100000000,60000000,2022,No,3.7,No,7,4,7,6,8,7.5,51.0
306,Pratilipi,pratilipi.com,Bangalore India,Indian Language Content,B2C,Hybrid Bangalore,12,20,INR,Series D,57000000,48000000,2021,No,3.8,No,7,3,7,6,8,7.5,49.0
307,Kutumb,kutumb.app,Bangalore India,Community App India,B2C,Hybrid Bangalore,12,20,INR,Series A,15000000,15000000,2022,No,3.8,No,7,3,6.5,6,8,7.5,48.5
308,Clip (short video),clip.com,India,Short Video AI,B2C,Hybrid,10,18,INR,Seed,2000000,2000000,2023,No,3.5,No,8,2.5,5.5,6,8,7,46.8
309,FrontRow,frontrow.co,Mumbai India,Live Studio Learning,B2C,Hybrid Mumbai,12,20,INR,Series A,17000000,17000000,2021,No,3.7,No,7,3,6.5,6,8,7.5,49.0
310,Khatabook,khatabook.com,Bangalore India,SMB Bookkeeping,B2B,Hybrid Bangalore,15,25,INR,Series C,100000000,100000000,2021,No,3.7,No,6,4,7.5,6,7,7.5,50.5
311,OkCredit,okcredit.in,Bangalore India,SMB Credit Management,B2B,Hybrid Bangalore,12,20,INR,Series B,83000000,67000000,2021,No,3.7,No,6,3,7,6,7,7.5,49.0
312,Locus,locus.sh,Bangalore India,AI Logistics Optimization,B2B,Hybrid Bangalore,18,30,INR,Series C,81000000,50000000,2022,No,3.8,No,7,4.5,7.5,6,7,7.5,52.5
313,GreyOrange,greyorange.com,Gurugram India,Warehouse Robotics AI,B2B,Hybrid Gurugram,18,30,INR,Series D,170000000,135000000,2021,No,3.5,No,7,4.5,7.5,5,7,7,50.8
314,Detect Technologies,detect.app,Chennai India,Industrial AI Safety,B2B,Hybrid Chennai,12,22,INR,Series B,15000000,15000000,2022,No,3.7,No,8,3,6.5,6,7,7.5,48.3
315,SigSense,sigsense.ai,Hyderabad India,Industrial IoT AI,B2B,Hybrid Hyderabad,10,18,INR,Series A,6000000,6000000,2022,No,3.6,No,7,2.5,6,6.5,7,7.5,46.3
316,Mad Street Den (Vue.ai),vue.ai,Chennai India,AI for Retail,B2B,Hybrid Chennai,15,25,INR,Series C,30000000,25000000,2022,No,3.8,No,8,4,7,6,7,7.5,51.8
317,Scaler Academy,scaler.com,Bangalore India,Tech EdTech B2C,B2C,Hybrid Bangalore,18,30,INR,Series B,55000000,55000000,2022,No,3.8,No,7,4.5,7.5,6,8,7.5,52.8
318,Masai School,masaischool.com,Bangalore India,Coding Bootcamp B2C,B2C,Hybrid Bangalore,12,20,INR,Series B,35000000,35000000,2022,No,3.7,No,7,3,7,6,8,7.5,50.0
319,Apna.co,apna.co,Bangalore India,Job Platform Blue-collar,B2C,Hybrid Bangalore,18,30,INR,Series D,193000000,100000000,2022,No,3.7,No,7,4.5,7.5,6,8,7.5,52.8
320,Internshala,internshala.com,Gurugram India,Internship Platform B2C,B2C,Hybrid Gurugram,15,22,INR,Bootstrapped,0,Profitable,N/A,No,3.8,No,6,4,8,5,7,7.5,50.8
321,Hirect,hirect.in,Hyderabad India,AI Hiring Chat Platform,Both,Hybrid Hyderabad,12,20,INR,Series A,10000000,10000000,2022,No,3.7,No,7,3,6.5,6.5,7,7.5,49.0
322,Springworks,springworks.in,Bangalore India,HR SaaS India,B2B,Hybrid Bangalore,15,25,INR,Series A,5000000,5000000,2021,No,4.0,No,6,4,6.5,6,6,8,49.5
323,Kredily,kredily.com,Bangalore India,HR Payroll India,B2B,Hybrid Bangalore,10,18,INR,Seed,2000000,2000000,2021,No,3.8,No,6,2.5,5.5,6,6,7.5,45.8
324,Razorpay X (neo-banking),razorpay.com,Bangalore India,Neobanking for Businesses,B2B,Hybrid Bangalore,35,50,INR,Series F,741500000,375000000,2021,No,3.8,No,7,6.5,8,6,7,7.5,59.8
325,Groww Mutual Fund PM,groww.in,Bangalore India,B2C FinTech Investing,B2C,Hybrid Bangalore,38,55,INR,Series F,393000000,251000000,2021,No,3.9,No,7,7,7.5,6,9,8,63.0
